County,"All
Ages",15-19,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,
Stevens2012,7.1,5.1,*,11.1,13.5,10.3,10.8,4.8,*,,
Thurston2012,14.0,12.4,7.0,20.3,28.7,19.4,10.9,8.3,3.8,,
Wahkiakum2012,*,*,*,*,*,*,*,*,*,,
Walla Walla2012,9.2,9.8,4.2,16.9,9.9,19.9,6.5,6.0,*,,
Whatcom2012,11.4,8.5,7.8,9.1,19.8,15.0,9.9,7.4,2.9,,
Whitman2012,13.9,5.3,*,6.4,15.4,23.5,30.3,18.2,9.7,,
Yakima2012,12.7,14.9,8.5,25.0,26.2,21.1,7.2,5.4,0.9,,
State Total2011,14.8,13.2,7.6,21.2,28.8,20.8,13.7,8.2,3.2,,
Adams2011,10.6,9.5,*,*,18.3,15.9,13.9,*,*,,
Asotin2011,12.4,9.0,*,18.2,28.1,19.6,*,*,7.8,,
Benton2011,11.2,10.1,4.8,19.2,23.7,16.6,10.4,4.0,2.3,,
Chelan2011,9.4,11.2,5.8,20.6,22.8,9.2,6.8,4.5,*,,
Clallam2011,15.2,15.1,15.6,14.2,34.2,20.6,15.9,4.4,*,,
Clark2011,13.0,12.5,6.9,22.4,28.5,17.1,12.4,6.8,2.6,,
Columbia2011,8.9,*,*,*,*,*,*,*,*,,
Cowlitz2011,9.3,10.5,6.2,17.4,20.3,14.8,6.6,3.0,1.5,,
Douglas2011,8.4,6.6,5.4,*,20.0,9.6,6.6,6.9,*,,
Ferry2011,4.6,*,*,*,*,*,*,*,*,,
Franklin2011,12.5,13.9,9.1,21.4,30.0,12.8,11.1,4.5,*,,
Garfield2011,*,*,*,*,*,*,*,*,*,,
Grant2011,9.9,11.0,7.4,16.5,22.3,15.9,4.1,3.8,*,,
Grays Harbor2011,14.2,15.3,7.4,27.4,23.8,21.9,12.9,7.5,3.4,,
Island2011,10.7,9.1,4.2,18.7,22.3,17.1,9.6,3.1,*,,
Jefferson2011,15.0,*,*,*,31.1,29.9,18.4,*,*,,
King2011,17.3,15.0,8.3,24.2,33.1,23.7,16.9,11.0,4.2,,
Kitsap2011,14.2,12.5,6.0,23.1,28.6,22.7,12.1,5.8,3.2,,
Kittitas2011,9.9,9.9,8.8,10.3,12.6,13.1,8.8,6.2,*,,
Klickitat2011,10.9,14.7,*,29.3,25.1,11.7,*,*,*,,
Lewis2011,15.2,12.7,3.5,27.3,30.9,23.0,14.5,6.9,3.6,,
Lincoln2011,7.6,15.9,*,*,28.6,*,*,*,*,,
Mason2011,15.1,12.4,4.8,24.5,33.5,24.8,14.1,3.9,3.0,,
