County,"All
Ages",15-19,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,
Clallam1999,14.8,22.5,19.6,27.7,44.4,20.5,8.7,7.5,N,,
Clark1999,17.4,19.7,11.6,33.7,44.3,24.3,15.3,8.3,1.8,,
Columbia1999,16.3,N,N,N,N,N,N,N,N,,
Cowlitz1999,12.9,18.7,11.5,31.2,28.8,17.1,9.4,6.9,1.9,,
Douglas1999,8.9,13.4,N,29.4,20.7,11.8,5.0,5.4,N,,
Ferry1999,12.0,16.9,N,N,N,N,N,N,N,,
Franklin1999,16.5,18.6,14.0,26.7,40.6,18.2,9.1,7.1,4.0,,
Garfield1999,N,N,N,N,N,N,N,N,N,,
Grant1999,10.6,17.1,8.9,31.7,24.2,11.5,6.5,2.8,2.0,,
Grays Harbor1999,16.5,21.7,14.4,34.5,33.4,25.3,17.2,6.1,3.4,,
Island1999,14.4,18.7,15.0,25.3,30.9,20.6,12.3,8.4,1.9,,
Jefferson1999,18.6,23.4,14.1,43.7,49.0,33.7,23.3,8.4,N,,
King1999,25.1,31.7,19.7,48.8,54.9,34.4,20.8,12.4,4.9,,
Kitsap1999,19.0,24.7,14.6,43.2,51.6,24.7,14.2,9.4,1.8,,
Kittitas1999,17.2,19.4,N,27.1,25.5,24.6,12.1,5.3,4.2,,
Klickitat1999,12.5,19.8,N,45.5,45.7,N,9.7,N,N,,
Lewis1999,16.9,19.7,13.8,30.6,34.2,28.6,13.6,10.5,2.3,,
Lincoln1999,8.7,N,N,N,38.7,N,N,N,N,,
Mason1999,16.7,21.6,12.0,40.7,51.5,27.5,12.6,3.5,N,,
Okanogan1999,12.4,20.0,18.1,23.7,38.3,8.7,7.2,5.1,3.1,,
Pacific1999,14.0,19.0,16.5,24.0,37.1,22.6,14.3,N,N,,
Pend Oreille1999,10.0,N,N,N,47.6,N,N,N,N,,
Pierce1999,24.6,32.4,20.9,49.9,56.5,32.6,20.3,11.1,3.3,,
San Juan1999,21.4,20.6,N,N,54.1,42.0,23.2,N,13.9,,
Skagit1999,16.9,27.2,15.7,46.4,33.2,21.9,13.4,7.6,3.2,,
Skamania1999,6.2,N,N,N,N,N,N,N,N,,
Snohomish1999,19.2,27.6,15.8,47.8,44.4,26.7,16.3,9.5,2.7,,
Spokane1999,15.2,20.2,13.7,28.7,32.4,19.0,13.8,6.5,1.9,,
Stevens1999,6.8,7.7,6.3,11.3,18.3,13.0,6.4,N,N,,
Thurston1999,20.6,28.8,16.1,49.5,46.1,28.9,16.4,9.3,3.0,,
Wahkiakum1999,N,N,N,N,N,N,N,N,N,,
Walla Walla1999,14.1,16.5,17.3,15.6,24.3,22.7,11.2,6.6,N,,
Whatcom1999,16.1,19.1,13.4,24.4,25.7,19.7,14.7,10.3,3.3,,
Whitman1999,11.3,10.4,8.8,10.9,16.3,10.7,6.1,7.0,4.3,,
Yakima1999,17.6,23.6,17.2,34.7,41.8,19.5,13.6,5.3,2.3,,
State Total1998,20.0,26.0,17.8,39.2,43.6,28.5,17.3,9.2,3.0,,
Adams1998,7.8,16.5,13.3,23.0,13.5,N,N,N,N,,
Asotin1998,10.1,19.0,11.5,33.7,26.2,11.1,N,N,N,,
Benton1998,14.8,20.8,15.6,31.0,33.1,20.7,14.1,5.5,1.2,,
Chelan1998,12.3,14.4,7.2,27.6,35.3,13.4,9.5,7.1,2.3,,
Clallam1998,15.9,24.1,16.0,40.2,39.8,23.1,12.2,8.3,N,,
Clark1998,15.8,21.0,15.4,31.2,35.4,21.3,15.8,7.2,1.9,,
Columbia1998,9.0,N,N,N,N,N,N,N,N,,
Cowlitz1998,13.6,19.6,14.7,28.5,27.2,21.8,13.2,4.6,1.4,,
Douglas1998,8.0,8.2,N,19.5,17.8,13.6,8.9,3.8,N,,
Ferry1998,9.1,N,N,N,N,N,N,N,N,,
Franklin1998,16.6,18.1,10.1,32.7,37.2,17.5,14.8,9.5,N,,
Garfield1998,N,N,N,N,N,N,N,N,N,,
Grant1998,11.2,15.2,10.0,25.1,31.5,10.6,8.6,3.2,N,,
Grays Harbor1998,18.8,31.8,20.6,53.0,35.8,28.3,13.1,8.8,1.9,,
Island1998,15.2,29.2,20.2,46.1,34.0,13.8,11.7,6.2,4.2,,
Jefferson1998,20.5,26.8,20.2,42.1,60.9,42.8,20.6,5.7,N,,
King1998,25.3,33.8,22.9,50.4,55.2,35.4,21.7,12.4,4.1,,
Kitsap1998,16.1,19.7,13.1,32.3,38.6,23.4,14.5,7.2,2.9,,
Kittitas1998,14.9,19.4,20.8,18.5,20.1,19.4,13.7,7.4,N,,
Klickitat1998,12.3,25.1,17.7,42.8,36.1,14.1,N,N,N,,
Lewis1998,17.0,18.9,12.0,32.3,36.7,23.8,17.3,11.2,2.7,,
Lincoln1998,5.2,N,N,N,N,N,N,N,N,,
Mason1998,18.0,27.4,13.1,57.9,45.0,28.4,15.4,6.9,N,,
Okanogan1998,12.1,22.6,17.3,33.8,20.7,20.4,7.8,5.0,N,,
Pacific1998,14.1,11.2,14.1,N,43.2,14.2,25.4,9.1,N,,
Pend Oreille1998,10.6,N,N,N,53.6,N,N,N,N,,
Pierce1998,23.5,31.3,19.8,49.7,52.3,33.6,18.0,10.7,3.4,,
San Juan1998,21.1,N,N,N,70.2,38.1,26.3,20.8,N,,
Skagit1998,17.7,22.7,14.7,37.0,44.7,25.2,13.9,7.4,2.0,,
Skamania1998,9.7,14.2,N,N,N,19.1,N,N,N,,
Snohomish1998,19.8,28.9,20.1,44.8,44.0,28.3,18.0,9.2,3.5,,
Spokane1998,15.4,19.4,12.6,28.9,33.6,21.9,13.0,5.6,2.1,,
Stevens1998,7.0,7.3,5.5,12.2,14.6,16.0,6.2,4.2,N,,
Thurston1998,20.8,28.9,20.1,44.1,51.9,28.1,17.3,7.0,3.0,,
Wahkiakum1998,N,N,N,N,N,N,N,N,N,,
Walla Walla1998,14.0,19.9,17.8,22.2,24.8,18.9,9.6,5.4,N,,
Whatcom1998,15.5,19.0,16.9,21.1,24.8,20.6,15.6,8.4,2.4,,
Whitman1998,10.8,10.4,N,12.5,15.8,16.1,5.1,N,N,,
Yakima1998,17.3,21.7,15.0,34.0,39.7,23.2,12.4,6.7,2.2,,
State Total1997,21.3,28.6,19.5,43.8,46.7,30.0,17.5,9.9,3.2,,
Adams1997,7.8,10.8,*,24.5,14.0,15.0,*,*,*,,
Asotin1997,13.2,18.7,11.8,32.9,23.3,12.7,15.8,6.3,*,,
Benton1997,15.8,24.4,14.5,44.7,37.6,22.5,11.0,5.8,2.3,,
Chelan1997,14.8,18.9,15.4,25.6,37.2,18.7,13.6,4.3,3.5,,
Clallam1997,16.3,25.0,18.6,38.1,47.7,19.7,14.5,6.3,*,,
Clark1997,15.9,25.0,15.2,43.7,36.0,22.9,11.4,7.6,1.6,,
Columbia1997,11.3,*,*,*,*,*,*,*,*,,
Cowlitz1997,12.6,15.7,9.6,27.3,35.3,16.4,10.3,4.5,*,,
Douglas1997,8.5,11.3,9.0,15.9,17.2,7.3,12.5,3.9,*,,
Ferry1997,9.6,21.3,*,*,*,*,*,*,*,,
Franklin1997,14.8,17.6,11.8,28.6,39.2,17.0,9.4,3.5,*,,
Garfield1997,*,*,*,*,*,*,*,*,*,,
Grant1997,13.1,20.4,14.8,31.5,23.5,20.2,9.0,5.2,*,,
Grays Harbor1997,17.1,26.6,21.3,37.2,36.3,23.8,17.9,5.5,*,,
Island1997,15.0,25.0,17.0,40.5,32.0,20.6,11.3,7.0,*,,
Jefferson1997,21.7,30.7,16.6,64.7,64.1,41.9,22.6,9.9,*,,
King1997,27.3,37.6,25.4,57.0,60.0,38.5,22.2,13.0,4.8,,
Kitsap1997,18.7,27.2,16.8,47.8,45.3,24.0,14.7,9.3,3.2,,
Kittitas1997,18.8,23.7,17.5,27.4,28.3,27.2,12.0,4.5,*,,
Klickitat1997,7.2,14.3,11.1,*,*,11.6,*,*,*,,
Lewis1997,16.8,22.3,15.2,36.5,39.3,22.4,17.1,6.8,1.9,,
Lincoln1997,5.3,*,*,*,*,*,*,*,*,,
Mason1997,19.6,28.6,21.3,45.0,47.1,28.9,16.2,8.6,*,,
Okanogan1997,12.8,15.4,17.3,11.1,30.0,22.3,9.7,6.1,3.0,,
Pacific1997,12.1,16.5,*,32.3,23.1,16.1,18.5,*,*,,
Pend Oreille1997,10.5,13.7,*,*,53.6,*,*,*,*,,
Pierce1997,25.9,34.1,23.3,51.8,57.0,36.0,20.9,12.0,3.5,,
San Juan1997,12.2,17.0,*,*,*,21.2,18.8,*,*,,
Skagit1997,13.9,18.3,15.7,23.2,29.2,21.3,13.6,7.4,*,,
Skamania1997,9.2,*,*,*,*,*,*,*,*,,
Snohomish1997,20.6,29.9,19.1,50.3,50.0,28.9,17.1,9.3,3.0,,
Spokane1997,16.0,22.5,13.9,35.1,36.3,20.5,11.5,6.7,1.9,,
Stevens1997,8.9,11.1,7.5,20.9,35.8,13.5,*,3.4,*,,
Thurston1997,21.0,30.0,23.8,41.1,45.6,29.7,15.9,10.8,3.9,,
Wahkiakum1997,*,*,*,*,*,*,*,*,*,,
Walla Walla1997,11.7,14.1,12.3,16.1,24.3,12.6,9.9,5.9,*,,
Whatcom1997,17.8,24.3,20.5,28.2,29.5,23.3,15.6,9.1,2.4,,
Whitman1997,11.9,10.5,8.5,11.2,15.7,20.2,7.4,*,*,,
Yakima1997,18.4,26.4,19.0,40.6,37.8,21.6,15.7,8.6,1.6,,
